,Genre,User ratings,Title,Cast
0,Action,80,Predator: Killer of Killers,Suzuki Mint
1,Adventure,72,The Accountant²,Eiji Nakamura
2,Animation,83,STRAW,Shou Nishino
3,Comedy,71,Lilo & Stitch,Ryôichi Inaba
4,Crime,68,The Amateur,Hirokazu Iijima
5,Documentary,62,Mikaela,Takahiro Tsutsumi
6,Drama,68,K.O.,Masahiko Itoh
7,Family,76,Sinners,Yuuki Kawanishi
8,Fantasy,70,Final Destination Bloodlines,Kazuya Nomura
9,History,65,A Minecraft Movie,Ben Affleck
10,Horror,71,Ballerina,Jon Bernthal
11,Music,78,How to Train Your Dragon,Cynthia Addai-Robinson
12,Mystery,68,The Roundup: Punishment,J.K. Simmons
13,Romance,63,Shadow Force,Allison Robertson
14,Science Fiction,67,A Working Man,Alison Wright
15,TV Movie,48,Utopia,Daniella Pineda
16,Thriller,61,Clown in a Cornfield,Robert Morgan
17,War,67,Jewel Thief - The Heist Begins,Grant Harvey
18,Western,71,The Ugly Stepsister,Maia Kealoha
19,,71,Mission: Impossible - The Final Reckoning,Sydney Agudong
20,Action,34,Warrior Queen,Chris Sanders
21,Adventure,77,Kayara,Zach Galifianakis
22,Animation,82,The Last Stand of Ellen Cole,Billy Magnussen
23,Comedy,43,Snow White,Courtney B. Vance
24,Crime,73,Warfare,Amy Hill
25,Documentary,51,Sikandar,Tia Carrere
26,Drama,68,Párvulos: Children of the Apocalypse,Kaipo Dudoit
27,Family,61,Woodwalkers,Spiros Focás
28,Fantasy,67,Fear Below,George Eastman
29,History,76,Thor: Ragnarok,Horst Frank
30,Horror,48,Laila,Nicoletta Machiavelli
31,Music,71,Moana 2,Ivy Holzer
32,Mystery,71,The Accountant,Roberto Risso
33,Romance,65,Until Dawn,Paolo Magalotti
34,Science Fiction,65,In the Lost Lands,Franco Fantasia
35,TV Movie,65,Jurassic World: Fallen Kingdom,Claudio Castellani
36,Thriller,74,Thunderbolts*,Amélie Daure
37,War,76,Lilo & Stitch,Gianpaolo Lupori
38,Western,61,Captain America: Brave New World,Stefan Morawietz
39,,76,Guardians of the Galaxy Vol. 2,Rie Nakagawa
40,Action,82,Star Wars,Yuri Yamashina
41,Adventure,82,Avengers: Infinity War,Kiyoshi Abe
42,Animation,69,Karate Kid: Legends,Chizuyu Azami
43,Comedy,78,My Fault,Moeko Ezawa
44,Crime,68,Exterritorial,Toshihiko Oda
45,Documentary,49,Tin Soldier,Hiroshi Chō
46,Drama,85,Parasite,Akira Takahashi
47,Family,78,How to Train Your Dragon,Ikunosuke Koizumi
48,Fantasy,71,The Lion King,Kaitlyn Santa Juana
49,History,100,Taandob,Teo Briones
50,Horror,68,Star Wars: The Last Jedi,Rya Kihlstedt
51,Music,75,The Containment,Richard Harmon
52,Mystery,69,Brave Citizen,Owen Patrick Joyner
53,Romance,75,Deep Cover,Anna Lore
54,Science Fiction,75,Deadpool 2,Brec Bassinger
55,TV Movie,77,Sonic the Hedgehog 3,Tony Todd
56,Thriller,61,Justice League,Andrew Tinpo Lee
57,War,73,Doctor Strange in the Multiverse of Madness,Jason Momoa
58,Western,63,The Legend of Ochi,Jack Black
59,,72,Stepmom's Desire,Sebastian Eugene Hansen
60,Action,61,Baywatch,Emma Myers
61,Adventure,74,Mufasa: The Lion King,Danielle Brooks
62,Animation,87,The Godfather,Jennifer Coolidge
63,Comedy,77,The Terminator,Rachel House
64,Crime,60,Bambi: A Life in the Woods,Allan Henry
65,Documentary,72,Belyas,Bram Scott-Breheny
66,Drama,74,Our Times,Ana de Armas
67,Family,76,Blade Runner 2049,Anjelica Huston
68,Fantasy,62,Alien: Covenant,Keanu Reeves
69,History,68,Savages,Norman Reedus
70,Horror,65,A Widow's Game,Lance Reddick
71,Music,76,Loco Por Ella,Catalina Sandino Moreno
72,Mystery,81,Dune: Part Two,Ian McShane
73,Romance,76,The Super Mario Bros. Movie,Gabriel Byrne
74,Science Fiction,66,Last Bullet,Sharon Duncan-Brewster
75,TV Movie,62,The Meg,Kerry Washington
76,Thriller,78,Logan,Omar Sy
77,War,59,xXx,Jahleel Kamara
78,Western,58,My Massive Cock,Mark Strong
79,,74,John Wick: Chapter 3 - Parabellum,Da'Vine Joy Randolph
80,Action,71,Your Fault,Method Man
81,Adventure,85,Pulp Fiction,Ed Quinn
82,Animation,53,Rosario,Natalia Reyes
83,Comedy,77,The Gorge,Marvin Jones III
84,Crime,65,Havoc,Katie Douglas
85,Documentary,85,"The Good, the Bad and the Ugly",Aaron Abrams
86,Drama,54,Fear Street: Prom Queen,Carson MacCormac
87,Family,74,Mission: Impossible - Fallout,Cassandra Potenza
88,Fantasy,72,War for the Planet of the Apes,Verity Marks
89,History,73,Spider-Man: Homecoming,Bradley Sawatzky
90,Horror,64,Annihilation,Vincent Muller
91,Music,70,Beauty and the Beast,Ayo Solanke
92,Mystery,81,Oppenheimer,Daina Leitold
93,Romance,64,Fountain of Youth,Eugenio Chicano
94,Science Fiction,59,The Monkey,Marina Furlani
95,TV Movie,63,Rust,Ramaz Giorgobiani
96,Thriller,68,Panda Bear in Africa,Gogi Kharabadze
97,War,83,Spider-Man: Across the Spider-Verse,Marina Kartsivadze
98,Western,74,Titan: The OceanGate Submersible Disaster,Aleqsandre Omiadze
99,,70,Despicable Me 4,Baadur Tsuladze
